word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
013_01,não,no/not,nowng,grammar,beginner_1,"NÃO sounds like 'now' with a nasal - NOW NO!","Place before verb to negate. Double negatives are correct in Portuguese!","Portuguese uses double negatives: 'não quero nada' is correct not redundant!","Nasal sound - place before verb to negate",Não falo português.,I don't speak Portuguese.,Não sei.,I don't know.,x_mark,"sim;nunca;nada",1
013_02,nunca,never,NOON-kah,grammar,beginner_2,"NUNCA = NOON-kah - I've NEVER seen noon!","Often combined with não for emphasis. 'Nunca mais' = never again.","'Nunca digas nunca' (never say never) - Portuguese love this phrase!","Stronger than não - often used with não",Nunca estive em Lisboa.,I've never been to Lisbon.,Nunca mais!,Never again!,never,"sempre;nada;não",2
013_03,nada,nothing,NAH-dah,grammar,beginner_1,"NADA = NAH-DAH - like saying 'nah duh' nothing special!","Often used with não: 'não quero nada'. Can stand alone.","'De nada' (you're welcome - literally 'of nothing') - very common response!","Can be used alone or with não",Não quero nada.,I don't want anything.,De nada.,You're welcome.,zero,"tudo;algo;nunca",3
013_04,ninguém,nobody,neen-GAYM,grammar,beginner_2,"NINGUÉM = 'NING-game' - NOBODY plays this game!","Used with não: 'Não vi ninguém' (I didn't see anyone).","'Ninguém é perfeito' (nobody is perfect) - common saying!","Nasal sound at start - often with não",Não há ninguém aqui.,There's nobody here.,Ninguém sabe.,Nobody knows.,empty_person,"alguém;todos;não",4
013_05,nenhum,none/no (masc),nen-YOOM,grammar,beginner_2,"NENHUM = 'nen-YOOM' - NONE you assume (masculine)","Masculine form. Agrees with noun: nenhum livro (no book).","'Nenhum problema!' is the cool way to say 'no problem!'","Followed by masculine noun",Nenhum problema.,No problem.,Não tenho nenhum.,I don't have any.,none,"nenhuma;algum;um",5
013_06,nenhuma,none/no (fem),nen-YOO-mah,grammar,beginner_2,"NENHUMA ends in A - feminine none!","Feminine form. Nenhuma + feminine noun.","'Sem nenhuma razão' (without any reason) - dramatic expression!","Followed by feminine noun",Nenhuma ideia.,No idea.,Não vejo nenhuma.,I don't see any.,none,"nenhum;alguma;uma",6
013_07,nem,neither/nor,naym,grammar,beginner_2,"NEM sounds like NAME - neither NAME applies!","Used in pairs: nem...nem (neither...nor).","'Nem pensar!' (don't even think about it!) - emphatic refusal.","Used in neither...nor constructions",Nem eu nem tu.,Neither me nor you.,Nem sim nem não.,Neither yes nor no.,neither,"não;ou;e",7
013_08,já não,no longer,zhah nowng,phrase,beginner_2,"JÁ NÃO = 'YEAH NO' - yeah we're NOT doing that anymore!","Indicates change from past. 'Já' adds temporal element.","Common in breakups: 'Já não te amo' (I no longer love you) - dramatic!","Shows change from before",Já não vivo aqui.,I no longer live here.,Já não trabalho lá.,I no longer work there.,change,"ainda;nunca;não",8
013_09,ainda não,not yet,ah-EEN-dah nowng,phrase,beginner_2,"AINDA NÃO = 'ah-IN-da NO' - India? NO not YET!","Implies expectation of future change. Temporary state.","Patient Portuguese say 'ainda não' a lot - things happen eventually!","Implies something will happen",Ainda não chegou.,He hasn't arrived yet.,Ainda não acabei.,I haven't finished yet.,waiting,"já;nunca;não",9
013_10,não é,isn't it,nowng eh,phrase,beginner_1,"NÃO É = 'no eh?' - like Canadian 'eh?'","Tag question seeking agreement. Can go at end of statements.","Portuguese love confirmation - 'não é?' is everywhere in conversation!","Tag question - seeking confirmation",É bom não é?,It's good isn't it?,Lisboa é bonita não é?,Lisbon is beautiful isn't it?,question,"é;não;sim",10
